서명,저자,출판사,발행년,자료유형,소장처
아파트 하자소송의 이론과 쟁점,이수철,박영사,2025,단행본,법학전문도서관 단행본서가 [ ]정리중
민법의 세계 : 채권법 / 제16판,양형우,정독,2025,단행본,법학전문도서관 단행본서가 [ ]정리중
"알고리즘, 패러다임, 법","Daston, Lorraine",까치 : 까치글방,2025,단행본,법학전문도서관 단행본서가 [LA 303.36 D231r K]정리중
Intimate revolt : the powers and limits of psychoanalysis / 2nd ed,"Kristeva, Julia",Columbia University,2025,단행본,2관5층 일반도서 [809.93353 K921r 2025/E]대출가능
The Routledge introduction to American comics,"Kunka, Andrew",Routledge,2025,단행본,2관5층 일반도서 [741.5973 K96r]대출가능
Mapping inequality in an era of neoliberalism,"Valocchi, Stephen M.",Routledge,2025,단행본,2관3층 일반도서 [305.50973 V198m]정리중
"Tolerance, a concept in crisis","Berman, Avi",Routledge,2025,단행본,1관3층 일반도서 [179.9 T6491]정리중
Participatory research in sport and physical activity,"Rich, Kyle A.",Routledge,2025,단행본,2관4층 일반도서 [613.71 P273]정리중
빛의 혁명과 반혁명 사이,박구용,시월,2025,단행본,2관3층 일반도서 [303.6 박17ㅂ]대출중
Gender inequality in the global labor market,"Rodríguez Pérez, Reyna Elizabeth",Routledge,2025,단행본,2관3층 일반도서 [331.4133 G3253]정리중
Cell signaling : principles and mechanisms / 2nd ed,"Lim, Wendell",CRC,2025,단행본,2관4층 일반도서 [571.74 L732c 2025]정리중
Facts and explanations in international studies,"Jackson, Patrick Thaddeus",Routledge,2025,단행본,2관3층 일반도서 [327.1014 J13f]정리중
Horror and science fiction cinema and society,"Harris, Martin",Routledge,2025,단행본,2관3층 일반도서 [302.2343 H315h]정리중
Routledge handbook on global China,"Mayer, Maximilian",Routledge,2025,단행본,2관3층 일반도서 [327.5200905 R869]정리중
여자 셋이 모이면 집이 커진다,김은하,서스테인,2024,단행본,2관5층 일반도서 [811.88 김6822ㅇ]대출중
아이의 뇌,김붕년,포레스트북스,2024,단행본,2관4층 일반도서 [649.1 김471ㅇ]대출중
동학사,오지영,아카넷,2024,단행본,3관4층 일반도서 [951.591 오79ㄷ 2024]대출중
오스카 코코슈카,"Görner, Rüdiger",북캠퍼스,2024,단행본,2관5층 일반도서 [759.36 K79G K]대출중
Professional interpreting programmes in China,"Wang, Yinying",Routledge,2024,단행본,중앙도서관 단행본서가 [ ]정리중
숨진 김 영감네 개가 수상하다,서메리,& : 넥서스,2024,단행본,중앙도서관 [ ]정리중
헤겔과 현대 사회,"Taylor, Charles",세창,2024,단행본,중앙도서관 [ ]정리중
"탈학습, 한나 아렌트의 사유방식","Knott, Marie Luise",산지니,2024,단행본,중앙도서관 [ ]정리중
"근대 기행문 자료집. 1, 경성ㆍ전국일주",서경석,민속원,2024,단행본,중앙도서관 [ ]정리중
캐스터 탐정,수당 레나,소미미디어,2024,단행본,중앙도서관 [ ]정리중
지명관일기. 1,지명관,소명,2024,단행본,중앙도서관 [ ]정리중
